"uuid","base","subbase","classe_cnj","orgao_julgador","relator_id","data_julgamento","n_mentions","n_ementa","n_moral","award_ementa","award_any","harm_type"
"347c2867-d13f-4a96-8fe2-8d846bb8fc0b","acordaos","acordaos",198,"1ª TURMA CÍVEL","f726893979",2024-03-13,5,0,1,NA,50000,"medical"
"34f5add6-1a57-44f6-b1f6-9f051369a997","acordaos","acordaos",198,"1ª TURMA CÍVEL","c540fdb8bf",2024-03-21,4,0,4,NA,NA,"medical"
"355ae901-e35b-4f6d-bf78-7817ba7874dd","acordaos","acordaos",1689,"6ª TURMA CÍVEL","07312dd681",2024-03-13,10,0,6,NA,7000,"other"
"36359d33-e6d7-47ee-98a8-4d83bc913bd3","acordaos","acordaos",417,"2ª TURMA CRIMINAL","875abf85dd",2024-03-07,5,0,4,NA,500,"honor_privacy"
"368f84ed-8de9-4b7b-bbbe-a66dfd717b7e","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","ef7646018c",2024-03-26,2,1,2,NA,NA,"consumer_service"
"374a9400-6f1b-41e2-bf65-3a687d78e571","acordaos","acordaos",198,"1ª TURMA CÍVEL","f726893979",2024-03-13,5,0,5,NA,NA,"medical"
"374e08eb-fe3f-4c55-8f22-21688b44af19","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","9868b4f5a5",2024-03-04,8,4,6,NA,NA,"consumer_service"
"3775ea5b-e8dd-4470-9512-0b174847336a","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,6,3,0,NA,NA,"other"
"3783a806-e104-4974-a880-c5eb328bd623","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","aa0cab12a8",2024-03-18,2,1,2,NA,NA,"wrongful_death"
"38606baf-07cb-4cb3-9784-ac8c7d8f341a","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","249fd17014",2024-03-18,11,3,9,3000,3000,"consumer_service"
"3889738e-d259-42fe-8034-1150cf39bb42","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,4,2,2,NA,NA,"medical"
"39172db2-a013-4e41-a8d5-4d6489652ab6","acordaos","acordaos",198,"5ª TURMA CÍVEL","d17cb21a51",2024-03-07,7,0,3,NA,10000,"honor_privacy"
"393af20d-b1c4-47cd-b0b7-ff1f54f244b3","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","5e0c5ae3c3",2024-03-04,8,4,8,3000,3000,"air_travel"
"39663779-397d-478c-a90b-8016952479c8","acordaos","acordaos",417,"1ª TURMA CRIMINAL","a68ade2514",2024-03-14,3,0,2,NA,500,"other"
"39950766-2c69-44b7-b863-5a7316666280","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","592078c0d0",2024-03-18,12,6,6,NA,NA,"other"
"39fe5011-b4bb-4ebb-a353-45ea9eff3103","acordaos","acordaos",417,"1ª TURMA CRIMINAL","e48f5e14a5",2024-03-21,1,0,0,NA,NA,"other"
"3a00db29-b0d6-4d1b-9beb-d24a0fde354c","acordaos","acordaos-tr",1689,"PRIMEIRA TURMA RECURSAL","73ededad40",2024-03-26,12,6,6,NA,NA,"other"
"3a1fc1b9-11ab-43fb-8f6a-44cdbba074e6","acordaos","acordaos",417,"1ª TURMA CRIMINAL","c8368eac56",2024-03-07,1,0,0,NA,NA,"other"
